note_id,entity_id,category,text,text_clean,timestamp,cluster,lda_topic
N400030,E101840,feedback,Broken chair in seminar room.,broken chair seminar room,2025-09-08 07:29:00,1,4
N400031,E102865,feedback,Requesting lab access.,requesting lab access,2025-09-13 16:43:00,0,3
N400032,E101953,rsvp,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-31 12:02:00,2,5
N400033,E104416,helpdesk,Requesting lab access.,requesting lab access,2025-09-04 07:11:00,0,3
N400034,E106853,rsvp,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-04 08:04:00,2,5
N400035,E105794,feedback,Broken chair in seminar room.,broken chair seminar room,2025-09-17 04:43:00,1,4
N400036,E103369,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-02 07:25:00,3,1
N400037,E101526,incident,Requesting lab access.,requesting lab access,2025-09-13 00:29:00,0,3
N400038,E105676,incident,CCTV near library needs check.,cctv near library needs check,2025-09-07 08:05:00,4,2
N400039,E104104,incident,Broken chair in seminar room.,broken chair seminar room,2025-09-03 13:36:00,1,4
N400040,E104156,rsvp,CCTV near library needs check.,cctv near library needs check,2025-09-03 15:56:00,4,2
N400041,E103588,helpdesk,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-08-31 02:45:00,3,1
N400042,E104768,rsvp,Requesting lab access.,requesting lab access,2025-09-09 03:02:00,0,3
N400043,E105801,feedback,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-29 08:14:00,2,5
N400044,E105302,rsvp,Broken chair in seminar room.,broken chair seminar room,2025-09-04 19:27:00,1,4
N400045,E105104,rsvp,Requesting lab access.,requesting lab access,2025-09-23 15:48:00,0,3
N400046,E106877,incident,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-03 04:59:00,2,5
N400047,E106098,rsvp,Requesting lab access.,requesting lab access,2025-09-21 16:39:00,0,3
N400048,E104872,rsvp,Requesting lab access.,requesting lab access,2025-09-12 07:01:00,0,3
N400049,E100580,incident,Broken chair in seminar room.,broken chair seminar room,2025-09-20 11:36:00,1,4
N400050,E105250,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-08-30 22:34:00,3,1
N400051,E102262,rsvp,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-06 11:03:00,2,5
N400052,E103690,maintenance,Requesting lab access.,requesting lab access,2025-08-29 08:13:00,0,3
N400053,E101436,rsvp,Requesting lab access.,requesting lab access,2025-09-18 04:57:00,0,3
N400054,E102987,helpdesk,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-19 07:08:00,2,5
N400055,E102273,incident,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-17 07:57:00,2,5
N400056,E102428,helpdesk,Broken chair in seminar room.,broken chair seminar room,2025-09-22 21:47:00,1,4
N400057,E101234,rsvp,Requesting lab access.,requesting lab access,2025-08-29 07:01:00,0,3
N400058,E103048,incident,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-13 02:46:00,3,1
N400059,E105810,feedback,Requesting lab access.,requesting lab access,2025-09-15 08:18:00,0,3
N400060,E100882,rsvp,CCTV near library needs check.,cctv near library needs check,2025-09-21 19:46:00,4,2
N400061,E102247,rsvp,Requesting lab access.,requesting lab access,2025-09-02 13:49:00,0,3
N400062,E100901,incident,Requesting lab access.,requesting lab access,2025-09-23 19:14:00,0,3
N400063,E103357,rsvp,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-08 20:22:00,3,1
N400064,E105032,maintenance,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-03 01:57:00,2,5
N400065,E105543,feedback,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-11 10:48:00,3,1
N400066,E102124,rsvp,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-10 21:06:00,3,1
N400067,E100467,rsvp,Broken chair in seminar room.,broken chair seminar room,2025-09-07 12:20:00,1,4
N400068,E102623,rsvp,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-01 12:34:00,3,1
N400069,E103260,helpdesk,Requesting lab access.,requesting lab access,2025-09-13 16:09:00,0,3
N400070,E105645,feedback,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-22 01:41:00,2,5
N400071,E100822,rsvp,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-22 20:59:00,2,5
N400072,E100977,rsvp,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-04 11:42:00,3,1
N400073,E100613,helpdesk,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-31 17:26:00,2,5
N400074,E106276,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-23 05:40:00,3,1
N400075,E104104,incident,Broken chair in seminar room.,broken chair seminar room,2025-09-08 18:59:00,1,4
N400076,E104414,rsvp,Requesting lab access.,requesting lab access,2025-09-21 04:43:00,0,3
N400077,E102934,helpdesk,Broken chair in seminar room.,broken chair seminar room,2025-09-18 02:59:00,1,4
N400078,E101885,feedback,Requesting lab access.,requesting lab access,2025-09-09 20:09:00,0,3
N400079,E104355,rsvp,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-07 17:46:00,3,1
N400080,E102235,helpdesk,Requesting lab access.,requesting lab access,2025-09-17 09:22:00,0,3
N400081,E102294,incident,CCTV near library needs check.,cctv near library needs check,2025-09-22 03:26:00,4,2
N400082,E106062,rsvp,Requesting lab access.,requesting lab access,2025-08-27 03:51:00,0,3
N400083,E106281,helpdesk,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-08 21:07:00,2,5
N400084,E105851,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-07 23:04:00,3,1
N400085,E101952,rsvp,Requesting lab access.,requesting lab access,2025-09-21 13:45:00,0,3
N400086,E105140,incident,Broken chair in seminar room.,broken chair seminar room,2025-08-28 04:51:00,1,4
N400087,E102905,helpdesk,Requesting lab access.,requesting lab access,2025-09-18 10:58:00,0,3
N400088,E100431,incident,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-07 13:40:00,2,5
N400089,E102588,rsvp,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-11 04:28:00,2,5
N400090,E101196,incident,Requesting lab access.,requesting lab access,2025-09-25 11:43:00,0,3
N400091,E100462,rsvp,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-20 11:21:00,2,5
N400092,E103486,maintenance,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-01 18:43:00,2,5
N400093,E104486,incident,CCTV near library needs check.,cctv near library needs check,2025-09-13 18:22:00,4,2
N400094,E103362,feedback,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-13 02:05:00,2,5
N400095,E104879,maintenance,CCTV near library needs check.,cctv near library needs check,2025-09-11 13:20:00,4,2
N400096,E106341,feedback,Broken chair in seminar room.,broken chair seminar room,2025-09-21 04:43:00,1,4
N400097,E101027,maintenance,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-10 11:08:00,2,5
N400098,E101002,helpdesk,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-02 22:17:00,3,1
N400099,E102130,incident,CCTV near library needs check.,cctv near library needs check,2025-09-17 02:31:00,4,2
N400100,E102204,rsvp,Requesting lab access.,requesting lab access,2025-09-02 22:22:00,0,3
N400101,E106606,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-05 01:28:00,3,1
N400102,E101085,helpdesk,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-21 08:28:00,3,1
N400103,E102229,maintenance,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-03 01:06:00,2,5
N400104,E102269,feedback,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-15 11:06:00,3,1
N400105,E100589,rsvp,CCTV near library needs check.,cctv near library needs check,2025-09-17 17:07:00,4,2
N400106,E106861,maintenance,CCTV near library needs check.,cctv near library needs check,2025-09-19 03:55:00,4,2
N400107,E100600,maintenance,Requesting lab access.,requesting lab access,2025-09-05 08:09:00,0,3
N400108,E105460,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-01 14:21:00,3,1
N400109,E100475,helpdesk,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-02 11:36:00,2,5
N400110,E104661,rsvp,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-28 04:23:00,2,5
N400111,E100372,maintenance,Requesting lab access.,requesting lab access,2025-09-19 19:26:00,0,3
N400112,E106727,rsvp,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-02 19:16:00,2,5
N400113,E106801,incident,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-11 09:04:00,3,1
N400114,E104719,helpdesk,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-13 06:36:00,3,1
N400115,E106233,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-19 13:09:00,3,1
N400116,E106970,feedback,Requesting lab access.,requesting lab access,2025-09-16 15:25:00,0,3
N400117,E102402,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-18 00:26:00,3,1
N400118,E103984,incident,CCTV near library needs check.,cctv near library needs check,2025-09-23 23:57:00,4,2
N400119,E101791,maintenance,Broken chair in seminar room.,broken chair seminar room,2025-09-18 10:41:00,1,4
N400120,E105908,helpdesk,Requesting lab access.,requesting lab access,2025-09-01 06:19:00,0,3
N400121,E103119,helpdesk,Broken chair in seminar room.,broken chair seminar room,2025-09-23 23:13:00,1,4
N400122,E106279,helpdesk,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-19 01:55:00,3,1
N400123,E105846,rsvp,Broken chair in seminar room.,broken chair seminar room,2025-08-30 01:11:00,1,4
N400124,E106174,incident,Broken chair in seminar room.,broken chair seminar room,2025-09-12 10:22:00,1,4
N400125,E105805,incident,CCTV near library needs check.,cctv near library needs check,2025-09-10 15:41:00,4,2
N400126,E101955,rsvp,Broken chair in seminar room.,broken chair seminar room,2025-09-20 16:45:00,1,4
N400127,E101313,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-04 01:04:00,3,1
N400128,E103076,incident,Requesting lab access.,requesting lab access,2025-09-06 17:30:00,0,3
N400129,E100939,maintenance,CCTV near library needs check.,cctv near library needs check,2025-09-10 03:06:00,4,2
N400130,E106961,maintenance,Broken chair in seminar room.,broken chair seminar room,2025-08-30 15:52:00,1,4
N400131,E100992,maintenance,Requesting lab access.,requesting lab access,2025-09-07 05:38:00,0,3
N400132,E105059,helpdesk,Requesting lab access.,requesting lab access,2025-09-10 02:12:00,0,3
N400133,E104069,helpdesk,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-25 17:14:00,3,1
N400134,E100737,feedback,CCTV near library needs check.,cctv near library needs check,2025-09-12 03:01:00,4,2
N400135,E104805,incident,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-28 04:22:00,2,5
N400136,E100137,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-23 01:39:00,3,1
N400137,E105583,feedback,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-07 23:22:00,2,5
N400138,E102757,maintenance,CCTV near library needs check.,cctv near library needs check,2025-09-07 04:22:00,4,2
N400139,E106034,feedback,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-05 00:56:00,2,5
N400140,E103405,rsvp,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-11 16:35:00,2,5
N400141,E104748,rsvp,Requesting lab access.,requesting lab access,2025-09-03 11:46:00,0,3
N400142,E105781,rsvp,Broken chair in seminar room.,broken chair seminar room,2025-09-25 07:16:00,1,4
N400143,E101731,maintenance,Broken chair in seminar room.,broken chair seminar room,2025-09-22 06:15:00,1,4
N400144,E105511,rsvp,CCTV near library needs check.,cctv near library needs check,2025-09-14 17:59:00,4,2
N400145,E106319,maintenance,Broken chair in seminar room.,broken chair seminar room,2025-09-21 08:25:00,1,4
N400146,E106799,maintenance,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-16 16:17:00,2,5
N400147,E102962,feedback,Broken chair in seminar room.,broken chair seminar room,2025-09-08 12:45:00,1,4
N400148,E102784,incident,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-04 05:28:00,2,5
N400149,E100268,helpdesk,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-07 16:08:00,3,1
N400150,E101037,incident,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-05 18:17:00,3,1
N400151,E100738,rsvp,Broken chair in seminar room.,broken chair seminar room,2025-09-17 18:50:00,1,4
N400152,E105202,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-08-28 11:22:00,3,1
N400153,E106042,helpdesk,Requesting lab access.,requesting lab access,2025-08-30 22:34:00,0,3
N400154,E105402,incident,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-04 07:50:00,2,5
N400155,E106453,incident,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-19 17:10:00,3,1
N400156,E103988,maintenance,Requesting lab access.,requesting lab access,2025-09-22 13:42:00,0,3
N400157,E104660,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-08-31 17:00:00,3,1
N400158,E103056,rsvp,Broken chair in seminar room.,broken chair seminar room,2025-08-31 18:04:00,1,4
N400159,E100726,incident,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-13 14:53:00,3,1
N400160,E106438,feedback,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-15 13:13:00,2,5
N400161,E102429,feedback,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-07 17:16:00,2,5
N400162,E101158,feedback,Requesting lab access.,requesting lab access,2025-09-21 00:12:00,0,3
N400163,E105533,incident,CCTV near library needs check.,cctv near library needs check,2025-09-04 09:59:00,4,2
N400164,E102863,helpdesk,CCTV near library needs check.,cctv near library needs check,2025-08-30 12:17:00,4,2
N400165,E106398,feedback,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-14 20:31:00,3,1
N400166,E105491,helpdesk,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-12 11:28:00,3,1
N400167,E103536,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-19 02:16:00,3,1
N400168,E103420,feedback,CCTV near library needs check.,cctv near library needs check,2025-09-02 10:55:00,4,2
N400169,E101463,maintenance,CCTV near library needs check.,cctv near library needs check,2025-08-28 22:52:00,4,2
N400170,E101635,feedback,CCTV near library needs check.,cctv near library needs check,2025-09-17 01:13:00,4,2
N400171,E106733,helpdesk,Requesting lab access.,requesting lab access,2025-09-20 23:25:00,0,3
N400172,E100029,rsvp,Requesting lab access.,requesting lab access,2025-09-04 15:23:00,0,3
N400173,E101832,feedback,Requesting lab access.,requesting lab access,2025-09-12 05:25:00,0,3
N400174,E105571,feedback,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-31 02:24:00,2,5
N400175,E100348,maintenance,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-27 23:59:00,2,5
N400176,E106406,maintenance,CCTV near library needs check.,cctv near library needs check,2025-09-06 09:11:00,4,2
N400177,E103721,maintenance,Broken chair in seminar room.,broken chair seminar room,2025-09-19 00:04:00,1,4
N400178,E104135,maintenance,CCTV near library needs check.,cctv near library needs check,2025-09-16 12:49:00,4,2
N400179,E100015,incident,Broken chair in seminar room.,broken chair seminar room,2025-09-08 12:23:00,1,4
N400180,E101526,rsvp,CCTV near library needs check.,cctv near library needs check,2025-09-23 10:31:00,4,2
N400181,E106342,incident,CCTV near library needs check.,cctv near library needs check,2025-09-10 21:32:00,4,2
N400182,E105012,maintenance,Broken chair in seminar room.,broken chair seminar room,2025-09-24 08:13:00,1,4
N400183,E101492,incident,CCTV near library needs check.,cctv near library needs check,2025-08-27 04:26:00,4,2
N400184,E101002,helpdesk,Broken chair in seminar room.,broken chair seminar room,2025-08-30 17:10:00,1,4
N400185,E106496,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-01 04:20:00,3,1
N400186,E101697,feedback,Requesting lab access.,requesting lab access,2025-09-18 01:09:00,0,3
N400187,E102571,incident,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-08-28 14:57:00,3,1
N400188,E103308,helpdesk,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-19 14:04:00,3,1
N400189,E105533,helpdesk,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-04 22:04:00,2,5
N400190,E105449,maintenance,Requesting lab access.,requesting lab access,2025-09-07 04:15:00,0,3
N400191,E104467,rsvp,Requesting lab access.,requesting lab access,2025-09-06 00:45:00,0,3
N400192,E101268,maintenance,Requesting lab access.,requesting lab access,2025-09-15 00:01:00,0,3
N400193,E103413,helpdesk,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-01 06:44:00,2,5
N400194,E104954,incident,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-23 18:32:00,3,1
N400195,E106549,incident,CCTV near library needs check.,cctv near library needs check,2025-09-21 07:45:00,4,2
N400196,E101374,helpdesk,Broken chair in seminar room.,broken chair seminar room,2025-09-01 13:10:00,1,4
N400197,E104126,incident,Broken chair in seminar room.,broken chair seminar room,2025-09-24 19:50:00,1,4
N400198,E102884,feedback,CCTV near library needs check.,cctv near library needs check,2025-09-07 11:13:00,4,2
N400199,E103060,helpdesk,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-27 05:51:00,2,5
N400200,E103412,rsvp,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-16 07:09:00,2,5
N400201,E101920,incident,CCTV near library needs check.,cctv near library needs check,2025-09-11 12:53:00,4,2
N400202,E101545,incident,Broken chair in seminar room.,broken chair seminar room,2025-09-23 04:50:00,1,4
N400203,E104180,helpdesk,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-08 08:52:00,2,5
N400204,E104793,helpdesk,Requesting lab access.,requesting lab access,2025-09-15 17:39:00,0,3
N400205,E100598,helpdesk,Requesting lab access.,requesting lab access,2025-09-04 13:42:00,0,3
N400206,E100195,helpdesk,Broken chair in seminar room.,broken chair seminar room,2025-08-29 05:54:00,1,4
N400207,E105662,helpdesk,CCTV near library needs check.,cctv near library needs check,2025-08-27 23:28:00,4,2
N400208,E102477,maintenance,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-12 14:14:00,2,5
N400209,E105679,feedback,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-04 02:47:00,3,1
N400210,E105603,incident,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-28 21:08:00,2,5
N400211,E100238,maintenance,Broken chair in seminar room.,broken chair seminar room,2025-08-30 11:07:00,1,4
N400212,E102091,incident,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-08 02:05:00,3,1
N400213,E103062,rsvp,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-23 15:09:00,3,1
N400214,E100415,helpdesk,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-18 22:50:00,2,5
N400215,E100826,incident,Broken chair in seminar room.,broken chair seminar room,2025-09-23 21:09:00,1,4
N400216,E105451,rsvp,Broken chair in seminar room.,broken chair seminar room,2025-09-04 20:13:00,1,4
N400217,E105869,incident,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-06 01:54:00,2,5
N400218,E102956,helpdesk,Broken chair in seminar room.,broken chair seminar room,2025-09-02 20:44:00,1,4
N400219,E103111,incident,Requesting lab access.,requesting lab access,2025-09-21 08:05:00,0,3
N400220,E101782,feedback,Broken chair in seminar room.,broken chair seminar room,2025-09-08 19:32:00,1,4
N400221,E105870,feedback,Requesting lab access.,requesting lab access,2025-09-08 00:49:00,0,3
N400222,E103442,feedback,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-23 20:39:00,3,1
N400223,E106631,helpdesk,Broken chair in seminar room.,broken chair seminar room,2025-09-14 08:03:00,1,4
N400224,E103179,maintenance,CCTV near library needs check.,cctv near library needs check,2025-09-24 07:34:00,4,2
N400225,E101862,helpdesk,CCTV near library needs check.,cctv near library needs check,2025-09-05 01:09:00,4,2
N400226,E104305,helpdesk,Broken chair in seminar room.,broken chair seminar room,2025-09-08 16:02:00,1,4
N400227,E103474,incident,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-14 11:35:00,3,1
N400228,E100648,feedback,Requesting lab access.,requesting lab access,2025-08-31 19:55:00,0,3
N400229,E101167,helpdesk,Requesting lab access.,requesting lab access,2025-09-17 12:31:00,0,3
N400230,E102325,helpdesk,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-21 17:48:00,2,5
N400231,E101991,helpdesk,Broken chair in seminar room.,broken chair seminar room,2025-09-24 07:27:00,1,4
N400232,E106918,rsvp,Broken chair in seminar room.,broken chair seminar room,2025-09-13 22:20:00,1,4
N400233,E106020,feedback,CCTV near library needs check.,cctv near library needs check,2025-08-29 02:02:00,4,2
N400234,E106155,helpdesk,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-24 04:50:00,3,1
N400235,E105717,maintenance,Requesting lab access.,requesting lab access,2025-08-28 10:01:00,0,3
N400236,E105234,maintenance,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-29 18:28:00,2,5
N400237,E101526,helpdesk,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-12 20:50:00,3,1
N400238,E105607,helpdesk,Broken chair in seminar room.,broken chair seminar room,2025-09-11 12:37:00,1,4
N400239,E103035,maintenance,CCTV near library needs check.,cctv near library needs check,2025-09-21 13:24:00,4,2
N400240,E104377,rsvp,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-09 11:19:00,3,1
N400241,E101016,rsvp,Requesting lab access.,requesting lab access,2025-09-14 19:20:00,0,3
N400242,E106572,incident,Broken chair in seminar room.,broken chair seminar room,2025-09-02 03:55:00,1,4
N400243,E100504,helpdesk,Broken chair in seminar room.,broken chair seminar room,2025-08-31 02:48:00,1,4
N400244,E101223,maintenance,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-31 08:49:00,2,5
N400245,E102940,incident,CCTV near library needs check.,cctv near library needs check,2025-08-30 11:14:00,4,2
N400246,E103114,feedback,CCTV near library needs check.,cctv near library needs check,2025-09-21 09:52:00,4,2
N400247,E100656,maintenance,Requesting lab access.,requesting lab access,2025-09-03 11:49:00,0,3
N400248,E105900,helpdesk,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-12 06:24:00,2,5
N400249,E101030,feedback,Requesting lab access.,requesting lab access,2025-08-30 16:26:00,0,3
N400250,E101951,incident,Broken chair in seminar room.,broken chair seminar room,2025-08-31 04:07:00,1,4
N400251,E100909,rsvp,CCTV near library needs check.,cctv near library needs check,2025-09-08 19:01:00,4,2
N400252,E106699,rsvp,Broken chair in seminar room.,broken chair seminar room,2025-09-05 13:42:00,1,4
N400253,E105447,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-18 03:30:00,3,1
N400254,E105527,incident,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-20 16:47:00,3,1
N400255,E102566,rsvp,Broken chair in seminar room.,broken chair seminar room,2025-09-20 05:08:00,1,4
N400256,E104458,maintenance,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-08 13:05:00,2,5
N400257,E101171,maintenance,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-28 12:04:00,2,5
N400258,E101847,feedback,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-01 13:20:00,3,1
N400259,E106726,rsvp,Broken chair in seminar room.,broken chair seminar room,2025-08-29 15:53:00,1,4
N400260,E102848,incident,Broken chair in seminar room.,broken chair seminar room,2025-09-25 21:14:00,1,4
N400261,E106872,incident,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-01 04:54:00,3,1
N400262,E101420,rsvp,CCTV near library needs check.,cctv near library needs check,2025-08-30 06:54:00,4,2
N400263,E100073,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-15 15:27:00,3,1
