note_id,entity_id,category,text,timestamp
N400027,E106468,rsvp,Wi-Fi not working in hostel block.,10-09-2025 10:51
N400028,E104707,helpdesk,Requesting lab access.,24-09-2025 04:57
N400029,E104158,rsvp,Broken chair in seminar room.,20-09-2025 04:56
N400030,E101840,feedback,Broken chair in seminar room.,08-09-2025 07:29
N400031,E102865,feedback,Requesting lab access.,13-09-2025 16:43
N400032,E101953,rsvp,Confirmed attendance for robotics workshop.,31-08-2025 12:02
N400033,E104416,helpdesk,Requesting lab access.,04-09-2025 07:11
N400034,E106853,rsvp,Confirmed attendance for robotics workshop.,04-09-2025 08:04
N400035,E105794,feedback,Broken chair in seminar room.,17-09-2025 04:43
N400036,E103369,maintenance,Wi-Fi not working in hostel block.,02-09-2025 07:25
N400037,E101526,incident,Requesting lab access.,13-09-2025 00:29
N400038,E105676,incident,CCTV near library needs check.,07-09-2025 08:05
N400039,E104104,incident,Broken chair in seminar room.,03-09-2025 13:36
N400040,E104156,rsvp,CCTV near library needs check.,03-09-2025 15:56
N400041,E103588,helpdesk,Wi-Fi not working in hostel block.,31-08-2025 02:45
N400042,E104768,rsvp,Requesting lab access.,09-09-2025 03:02
N400043,E105801,feedback,Confirmed attendance for robotics workshop.,29-08-2025 08:14
N400044,E105302,rsvp,Broken chair in seminar room.,04-09-2025 19:27
N400045,E105104,rsvp,Requesting lab access.,23-09-2025 15:48
N400046,E106877,incident,Confirmed attendance for robotics workshop.,03-09-2025 04:59
N400047,E106098,rsvp,Requesting lab access.,21-09-2025 16:39
N400048,E104872,rsvp,Requesting lab access.,12-09-2025 07:01
N400049,E100580,incident,Broken chair in seminar room.,20-09-2025 11:36
N400050,E105250,maintenance,Wi-Fi not working in hostel block.,30-08-2025 22:34
N400051,E102262,rsvp,Confirmed attendance for robotics workshop.,06-09-2025 11:03
N400052,E103690,maintenance,Requesting lab access.,29-08-2025 08:13
N400053,E101436,rsvp,Requesting lab access.,18-09-2025 04:57
N400054,E102987,helpdesk,Confirmed attendance for robotics workshop.,19-09-2025 07:08
N400055,E102273,incident,Confirmed attendance for robotics workshop.,17-09-2025 07:57
N400056,E102428,helpdesk,Broken chair in seminar room.,22-09-2025 21:47
N400057,E101234,rsvp,Requesting lab access.,29-08-2025 07:01
N400058,E103048,incident,Wi-Fi not working in hostel block.,13-09-2025 02:46
N400059,E105810,feedback,Requesting lab access.,15-09-2025 08:18
N400060,E100882,rsvp,CCTV near library needs check.,21-09-2025 19:46
N400061,E102247,rsvp,Requesting lab access.,02-09-2025 13:49
N400062,E100901,incident,Requesting lab access.,23-09-2025 19:14
N400063,E103357,rsvp,Wi-Fi not working in hostel block.,08-09-2025 20:22
N400064,E105032,maintenance,Confirmed attendance for robotics workshop.,03-09-2025 01:57
N400065,E105543,feedback,Wi-Fi not working in hostel block.,11-09-2025 10:48
N400066,E102124,rsvp,Wi-Fi not working in hostel block.,10-09-2025 21:06
N400067,E100467,rsvp,Broken chair in seminar room.,07-09-2025 12:20
N400068,E102623,rsvp,Wi-Fi not working in hostel block.,01-09-2025 12:34
N400069,E103260,helpdesk,Requesting lab access.,13-09-2025 16:09
N400070,E105645,feedback,Confirmed attendance for robotics workshop.,22-09-2025 01:41
N400071,E100822,rsvp,Confirmed attendance for robotics workshop.,22-09-2025 20:59
N400072,E100977,rsvp,Wi-Fi not working in hostel block.,04-09-2025 11:42
N400073,E100613,helpdesk,Confirmed attendance for robotics workshop.,31-08-2025 17:26
N400074,E106276,maintenance,Wi-Fi not working in hostel block.,23-09-2025 05:40
N400075,E104104,incident,Broken chair in seminar room.,08-09-2025 18:59
N400076,E104414,rsvp,Requesting lab access.,21-09-2025 04:43
N400077,E102934,helpdesk,Broken chair in seminar room.,18-09-2025 02:59
N400078,E101885,feedback,Requesting lab access.,09-09-2025 20:09
N400079,E104355,rsvp,Wi-Fi not working in hostel block.,07-09-2025 17:46
N400080,E102235,helpdesk,Requesting lab access.,17-09-2025 09:22
N400081,E102294,incident,CCTV near library needs check.,22-09-2025 03:26
N400082,E106062,rsvp,Requesting lab access.,27-08-2025 03:51
N400083,E106281,helpdesk,Confirmed attendance for robotics workshop.,08-09-2025 21:07
N400084,E105851,maintenance,Wi-Fi not working in hostel block.,07-09-2025 23:04
N400085,E101952,rsvp,Requesting lab access.,21-09-2025 13:45
N400086,E105140,incident,Broken chair in seminar room.,28-08-2025 04:51
N400087,E102905,helpdesk,Requesting lab access.,18-09-2025 10:58
N400088,E100431,incident,Confirmed attendance for robotics workshop.,07-09-2025 13:40
N400089,E102588,rsvp,Confirmed attendance for robotics workshop.,11-09-2025 04:28
N400090,E101196,incident,Requesting lab access.,25-09-2025 11:43
N400091,E100462,rsvp,Confirmed attendance for robotics workshop.,20-09-2025 11:21
N400092,E103486,maintenance,Confirmed attendance for robotics workshop.,01-09-2025 18:43
N400093,E104486,incident,CCTV near library needs check.,13-09-2025 18:22
N400094,E103362,feedback,Confirmed attendance for robotics workshop.,13-09-2025 02:05
N400095,E104879,maintenance,CCTV near library needs check.,11-09-2025 13:20
N400096,E106341,feedback,Broken chair in seminar room.,21-09-2025 04:43
N400097,E101027,maintenance,Confirmed attendance for robotics workshop.,10-09-2025 11:08
N400098,E101002,helpdesk,Wi-Fi not working in hostel block.,02-09-2025 22:17
N400099,E102130,incident,CCTV near library needs check.,17-09-2025 02:31
N400100,E102204,rsvp,Requesting lab access.,02-09-2025 22:22
N400101,E106606,maintenance,Wi-Fi not working in hostel block.,05-09-2025 01:28
N400102,E101085,helpdesk,Wi-Fi not working in hostel block.,21-09-2025 08:28
N400103,E102229,maintenance,Confirmed attendance for robotics workshop.,03-09-2025 01:06
N400104,E102269,feedback,Wi-Fi not working in hostel block.,15-09-2025 11:06
N400105,E100589,rsvp,CCTV near library needs check.,17-09-2025 17:07
N400106,E106861,maintenance,CCTV near library needs check.,19-09-2025 03:55
N400107,E100600,maintenance,Requesting lab access.,05-09-2025 08:09
N400108,E105460,maintenance,Wi-Fi not working in hostel block.,01-09-2025 14:21
N400109,E100475,helpdesk,Confirmed attendance for robotics workshop.,02-09-2025 11:36
N400110,E104661,rsvp,Confirmed attendance for robotics workshop.,28-08-2025 04:23
N400111,E100372,maintenance,Requesting lab access.,19-09-2025 19:26
N400112,E106727,rsvp,Confirmed attendance for robotics workshop.,02-09-2025 19:16
N400113,E106801,incident,Wi-Fi not working in hostel block.,11-09-2025 09:04
N400114,E104719,helpdesk,Wi-Fi not working in hostel block.,13-09-2025 06:36
N400115,E106233,maintenance,Wi-Fi not working in hostel block.,19-09-2025 13:09
N400116,E106970,feedback,Requesting lab access.,16-09-2025 15:25
N400117,E102402,maintenance,Wi-Fi not working in hostel block.,18-09-2025 00:26
N400118,E103984,incident,CCTV near library needs check.,23-09-2025 23:57
N400119,E101791,maintenance,Broken chair in seminar room.,18-09-2025 10:41
N400120,E105908,helpdesk,Requesting lab access.,01-09-2025 06:19
N400121,E103119,helpdesk,Broken chair in seminar room.,23-09-2025 23:13
N400122,E106279,helpdesk,Wi-Fi not working in hostel block.,19-09-2025 01:55
N400123,E105846,rsvp,Broken chair in seminar room.,30-08-2025 01:11
N400124,E106174,incident,Broken chair in seminar room.,12-09-2025 10:22
N400125,E105805,incident,CCTV near library needs check.,10-09-2025 15:41
N400126,E101955,rsvp,Broken chair in seminar room.,20-09-2025 16:45
N400127,E101313,maintenance,Wi-Fi not working in hostel block.,04-09-2025 01:04
N400128,E103076,incident,Requesting lab access.,06-09-2025 17:30
N400129,E100939,maintenance,CCTV near library needs check.,10-09-2025 03:06
N400130,E106961,maintenance,Broken chair in seminar room.,30-08-2025 15:52
N400131,E100992,maintenance,Requesting lab access.,07-09-2025 05:38
N400132,E105059,helpdesk,Requesting lab access.,10-09-2025 02:12
N400133,E104069,helpdesk,Wi-Fi not working in hostel block.,25-09-2025 17:14
N400134,E100737,feedback,CCTV near library needs check.,12-09-2025 03:01
N400135,E104805,incident,Confirmed attendance for robotics workshop.,28-08-2025 04:22
N400136,E100137,maintenance,Wi-Fi not working in hostel block.,23-09-2025 01:39
N400137,E105583,feedback,Confirmed attendance for robotics workshop.,07-09-2025 23:22
N400138,E102757,maintenance,CCTV near library needs check.,07-09-2025 04:22
N400139,E106034,feedback,Confirmed attendance for robotics workshop.,05-09-2025 00:56
N400140,E103405,rsvp,Confirmed attendance for robotics workshop.,11-09-2025 16:35
N400141,E104748,rsvp,Requesting lab access.,03-09-2025 11:46
N400142,E105781,rsvp,Broken chair in seminar room.,25-09-2025 07:16
N400143,E101731,maintenance,Broken chair in seminar room.,22-09-2025 06:15
N400144,E105511,rsvp,CCTV near library needs check.,14-09-2025 17:59
N400145,E106319,maintenance,Broken chair in seminar room.,21-09-2025 08:25
N400146,E106799,maintenance,Confirmed attendance for robotics workshop.,16-09-2025 16:17
N400147,E102962,feedback,Broken chair in seminar room.,08-09-2025 12:45
N400148,E102784,incident,Confirmed attendance for robotics workshop.,04-09-2025 05:28
N400149,E100268,helpdesk,Wi-Fi not working in hostel block.,07-09-2025 16:08
N400150,E101037,incident,Wi-Fi not working in hostel block.,05-09-2025 18:17
N400151,E100738,rsvp,Broken chair in seminar room.,17-09-2025 18:50
N400152,E105202,maintenance,Wi-Fi not working in hostel block.,28-08-2025 11:22
N400153,E106042,helpdesk,Requesting lab access.,30-08-2025 22:34
N400154,E105402,incident,Confirmed attendance for robotics workshop.,04-09-2025 07:50
N400155,E106453,incident,Wi-Fi not working in hostel block.,19-09-2025 17:10
N400156,E103988,maintenance,Requesting lab access.,22-09-2025 13:42
N400157,E104660,maintenance,Wi-Fi not working in hostel block.,31-08-2025 17:00
N400158,E103056,rsvp,Broken chair in seminar room.,31-08-2025 18:04
N400159,E100726,incident,Wi-Fi not working in hostel block.,13-09-2025 14:53
N400160,E106438,feedback,Confirmed attendance for robotics workshop.,15-09-2025 13:13
N400161,E102429,feedback,Confirmed attendance for robotics workshop.,07-09-2025 17:16
N400162,E101158,feedback,Requesting lab access.,21-09-2025 00:12
N400163,E105533,incident,CCTV near library needs check.,04-09-2025 09:59
N400164,E102863,helpdesk,CCTV near library needs check.,30-08-2025 12:17
N400165,E106398,feedback,Wi-Fi not working in hostel block.,14-09-2025 20:31
N400166,E105491,helpdesk,Wi-Fi not working in hostel block.,12-09-2025 11:28
N400167,E103536,maintenance,Wi-Fi not working in hostel block.,19-09-2025 02:16
N400168,E103420,feedback,CCTV near library needs check.,02-09-2025 10:55
N400169,E101463,maintenance,CCTV near library needs check.,28-08-2025 22:52
N400170,E101635,feedback,CCTV near library needs check.,17-09-2025 01:13
N400171,E106733,helpdesk,Requesting lab access.,20-09-2025 23:25
N400172,E100029,rsvp,Requesting lab access.,04-09-2025 15:23
N400173,E101832,feedback,Requesting lab access.,12-09-2025 05:25
N400174,E105571,feedback,Confirmed attendance for robotics workshop.,31-08-2025 02:24
N400175,E100348,maintenance,Confirmed attendance for robotics workshop.,27-08-2025 23:59
N400176,E106406,maintenance,CCTV near library needs check.,06-09-2025 09:11
N400177,E103721,maintenance,Broken chair in seminar room.,19-09-2025 00:04
N400178,E104135,maintenance,CCTV near library needs check.,16-09-2025 12:49
N400179,E100015,incident,Broken chair in seminar room.,08-09-2025 12:23
N400180,E101526,rsvp,CCTV near library needs check.,23-09-2025 10:31
N400181,E106342,incident,CCTV near library needs check.,10-09-2025 21:32
N400182,E105012,maintenance,Broken chair in seminar room.,24-09-2025 08:13
N400183,E101492,incident,CCTV near library needs check.,27-08-2025 04:26
N400184,E101002,helpdesk,Broken chair in seminar room.,30-08-2025 17:10
N400185,E106496,maintenance,Wi-Fi not working in hostel block.,01-09-2025 04:20
N400186,E101697,feedback,Requesting lab access.,18-09-2025 01:09
N400187,E102571,incident,Wi-Fi not working in hostel block.,28-08-2025 14:57
N400188,E103308,helpdesk,Wi-Fi not working in hostel block.,19-09-2025 14:04
N400189,E105533,helpdesk,Confirmed attendance for robotics workshop.,04-09-2025 22:04
N400190,E105449,maintenance,Requesting lab access.,07-09-2025 04:15
N400191,E104467,rsvp,Requesting lab access.,06-09-2025 00:45
N400192,E101268,maintenance,Requesting lab access.,15-09-2025 00:01
N400193,E103413,helpdesk,Confirmed attendance for robotics workshop.,01-09-2025 06:44
N400194,E104954,incident,Wi-Fi not working in hostel block.,23-09-2025 18:32
N400195,E106549,incident,CCTV near library needs check.,21-09-2025 07:45
N400196,E101374,helpdesk,Broken chair in seminar room.,01-09-2025 13:10
N400197,E104126,incident,Broken chair in seminar room.,24-09-2025 19:50
N400198,E102884,feedback,CCTV near library needs check.,07-09-2025 11:13
N400199,E103060,helpdesk,Confirmed attendance for robotics workshop.,27-08-2025 05:51
N400200,E103412,rsvp,Confirmed attendance for robotics workshop.,16-09-2025 07:09
N400201,E101920,incident,CCTV near library needs check.,11-09-2025 12:53
N400202,E101545,incident,Broken chair in seminar room.,23-09-2025 04:50
N400203,E104180,helpdesk,Confirmed attendance for robotics workshop.,08-09-2025 08:52
N400204,E104793,helpdesk,Requesting lab access.,15-09-2025 17:39
N400205,E100598,helpdesk,Requesting lab access.,04-09-2025 13:42
N400206,E100195,helpdesk,Broken chair in seminar room.,29-08-2025 05:54
N400207,E105662,helpdesk,CCTV near library needs check.,27-08-2025 23:28
N400208,E102477,maintenance,Confirmed attendance for robotics workshop.,12-09-2025 14:14
N400209,E105679,feedback,Wi-Fi not working in hostel block.,04-09-2025 02:47
N400210,E105603,incident,Confirmed attendance for robotics workshop.,28-08-2025 21:08
N400211,E100238,maintenance,Broken chair in seminar room.,30-08-2025 11:07
N400212,E102091,incident,Wi-Fi not working in hostel block.,08-09-2025 02:05
N400213,E103062,rsvp,Wi-Fi not working in hostel block.,23-09-2025 15:09
N400214,E100415,helpdesk,Confirmed attendance for robotics workshop.,18-09-2025 22:50
N400215,E100826,incident,Broken chair in seminar room.,23-09-2025 21:09
N400216,E105451,rsvp,Broken chair in seminar room.,04-09-2025 20:13
N400217,E105869,incident,Confirmed attendance for robotics workshop.,06-09-2025 01:54
N400218,E102956,helpdesk,Broken chair in seminar room.,02-09-2025 20:44
N400219,E103111,incident,Requesting lab access.,21-09-2025 08:05
N400220,E101782,feedback,Broken chair in seminar room.,08-09-2025 19:32
N400221,E105870,feedback,Requesting lab access.,08-09-2025 00:49
N400222,E103442,feedback,Wi-Fi not working in hostel block.,23-09-2025 20:39
N400223,E106631,helpdesk,Broken chair in seminar room.,14-09-2025 08:03
N400224,E103179,maintenance,CCTV near library needs check.,24-09-2025 07:34
N400225,E101862,helpdesk,CCTV near library needs check.,05-09-2025 01:09
N400226,E104305,helpdesk,Broken chair in seminar room.,08-09-2025 16:02
N400227,E103474,incident,Wi-Fi not working in hostel block.,14-09-2025 11:35
N400228,E100648,feedback,Requesting lab access.,31-08-2025 19:55
N400229,E101167,helpdesk,Requesting lab access.,17-09-2025 12:31
N400230,E102325,helpdesk,Confirmed attendance for robotics workshop.,21-09-2025 17:48
N400231,E101991,helpdesk,Broken chair in seminar room.,24-09-2025 07:27
N400232,E106918,rsvp,Broken chair in seminar room.,13-09-2025 22:20
N400233,E106020,feedback,CCTV near library needs check.,29-08-2025 02:02
N400234,E106155,helpdesk,Wi-Fi not working in hostel block.,24-09-2025 04:50
N400235,E105717,maintenance,Requesting lab access.,28-08-2025 10:01
N400236,E105234,maintenance,Confirmed attendance for robotics workshop.,29-08-2025 18:28
N400237,E101526,helpdesk,Wi-Fi not working in hostel block.,12-09-2025 20:50
N400238,E105607,helpdesk,Broken chair in seminar room.,11-09-2025 12:37
N400239,E103035,maintenance,CCTV near library needs check.,21-09-2025 13:24
N400240,E104377,rsvp,Wi-Fi not working in hostel block.,09-09-2025 11:19
N400241,E101016,rsvp,Requesting lab access.,14-09-2025 19:20
N400242,E106572,incident,Broken chair in seminar room.,02-09-2025 03:55
N400243,E100504,helpdesk,Broken chair in seminar room.,31-08-2025 02:48
N400244,E101223,maintenance,Confirmed attendance for robotics workshop.,31-08-2025 08:49
N400245,E102940,incident,CCTV near library needs check.,30-08-2025 11:14
N400246,E103114,feedback,CCTV near library needs check.,21-09-2025 09:52
N400247,E100656,maintenance,Requesting lab access.,03-09-2025 11:49
N400248,E105900,helpdesk,Confirmed attendance for robotics workshop.,12-09-2025 06:24
N400249,E101030,feedback,Requesting lab access.,30-08-2025 16:26
N400250,E101951,incident,Broken chair in seminar room.,31-08-2025 04:07
N400251,E100909,rsvp,CCTV near library needs check.,08-09-2025 19:01
N400252,E106699,rsvp,Broken chair in seminar room.,05-09-2025 13:42
N400253,E105447,maintenance,Wi-Fi not working in hostel block.,18-09-2025 03:30
N400254,E105527,incident,Wi-Fi not working in hostel block.,20-09-2025 16:47
N400255,E102566,rsvp,Broken chair in seminar room.,20-09-2025 05:08
N400256,E104458,maintenance,Confirmed attendance for robotics workshop.,08-09-2025 13:05
N400257,E101171,maintenance,Confirmed attendance for robotics workshop.,28-08-2025 12:04
N400258,E101847,feedback,Wi-Fi not working in hostel block.,01-09-2025 13:20
N400259,E106726,rsvp,Broken chair in seminar room.,29-08-2025 15:53
N400260,E102848,incident,Broken chair in seminar room.,25-09-2025 21:14
N400261,E106872,incident,Wi-Fi not working in hostel block.,01-09-2025 04:54
N400262,E101420,rsvp,CCTV near library needs check.,30-08-2025 06:54
N400263,E100073,maintenance,Wi-Fi not working in hostel block.,15-09-2025 15:27
N400264,E106400,maintenance,Broken chair in seminar room.,21-09-2025 09:27
N400265,E100296,rsvp,Wi-Fi not working in hostel block.,08-09-2025 10:36
N400266,E105849,incident,CCTV near library needs check.,11-09-2025 17:47
N400267,E103515,incident,Requesting lab access.,20-09-2025 06:24
N400268,E105036,incident,Requesting lab access.,31-08-2025 01:10
N400269,E102700,rsvp,Requesting lab access.,12-09-2025 05:00
N400270,E104717,helpdesk,Wi-Fi not working in hostel block.,29-08-2025 07:33
N400271,E104393,feedback,Wi-Fi not working in hostel block.,23-09-2025 13:49
N400272,E101508,feedback,CCTV near library needs check.,04-09-2025 00:33
N400273,E104529,rsvp,Broken chair in seminar room.,27-08-2025 11:40
N400274,E101426,incident,Wi-Fi not working in hostel block.,12-09-2025 17:48
N400275,E102154,maintenance,CCTV near library needs check.,18-09-2025 00:50
N400276,E102590,feedback,Wi-Fi not working in hostel block.,16-09-2025 15:22
N400277,E105449,feedback,Wi-Fi not working in hostel block.,18-09-2025 18:51
N400278,E103593,feedback,Wi-Fi not working in hostel block.,10-09-2025 10:35
N400279,E105844,maintenance,Wi-Fi not working in hostel block.,09-09-2025 17:15
N400280,E101083,helpdesk,Requesting lab access.,25-09-2025 13:00
N400281,E104749,helpdesk,Confirmed attendance for robotics workshop.,19-09-2025 06:11
N400282,E100490,helpdesk,Wi-Fi not working in hostel block.,01-09-2025 01:11
N400283,E100021,rsvp,CCTV near library needs check.,06-09-2025 00:13
N400284,E104327,feedback,Broken chair in seminar room.,09-09-2025 16:09
N400285,E102006,rsvp,Broken chair in seminar room.,27-08-2025 14:11
N400286,E101359,maintenance,Requesting lab access.,20-09-2025 05:37
N400287,E104939,feedback,CCTV near library needs check.,30-08-2025 23:15
N400288,E104426,incident,CCTV near library needs check.,14-09-2025 02:42
N400289,E103674,rsvp,Broken chair in seminar room.,07-09-2025 18:56
N400290,E104178,helpdesk,CCTV near library needs check.,01-09-2025 18:53
N400291,E103657,rsvp,Confirmed attendance for robotics workshop.,19-09-2025 12:08
N400292,E101611,feedback,Confirmed attendance for robotics workshop.,29-08-2025 20:33
N400293,E106183,incident,Broken chair in seminar room.,29-08-2025 05:05
N400294,E100215,feedback,CCTV near library needs check.,17-09-2025 19:12
N400295,E103075,feedback,Broken chair in seminar room.,17-09-2025 18:50
N400296,E102258,feedback,Broken chair in seminar room.,29-08-2025 23:27
N400297,E100348,maintenance,CCTV near library needs check.,15-09-2025 03:56
N400298,E101274,helpdesk,Confirmed attendance for robotics workshop.,19-09-2025 04:42
N400299,E100196,rsvp,Broken chair in seminar room.,19-09-2025 11:37
N400300,E104331,feedback,CCTV near library needs check.,23-09-2025 00:12
N400301,E105736,incident,Wi-Fi not working in hostel block.,02-09-2025 20:16
N400302,E105994,rsvp,Broken chair in seminar room.,04-09-2025 19:12
N400303,E104609,feedback,Requesting lab access.,31-08-2025 19:12
N400304,E104100,feedback,Requesting lab access.,31-08-2025 15:39
N400305,E103132,feedback,Requesting lab access.,31-08-2025 12:38
N400306,E102685,incident,Broken chair in seminar room.,06-09-2025 22:48
N400307,E103025,maintenance,Confirmed attendance for robotics workshop.,21-09-2025 09:44
N400308,E103931,feedback,CCTV near library needs check.,05-09-2025 02:10
N400309,E104448,maintenance,Wi-Fi not working in hostel block.,31-08-2025 22:05
N400310,E105171,maintenance,CCTV near library needs check.,25-09-2025 00:28
N400311,E103937,rsvp,Wi-Fi not working in hostel block.,02-09-2025 23:19
N400312,E101245,rsvp,CCTV near library needs check.,04-09-2025 04:15
N400313,E102836,maintenance,Wi-Fi not working in hostel block.,04-09-2025 09:57
N400314,E102473,rsvp,Requesting lab access.,16-09-2025 12:20
N400315,E106357,rsvp,Confirmed attendance for robotics workshop.,19-09-2025 11:13
N400316,E103823,maintenance,Broken chair in seminar room.,01-09-2025 18:25
N400317,E106776,rsvp,Confirmed attendance for robotics workshop.,04-09-2025 02:03
N400318,E103644,helpdesk,Broken chair in seminar room.,28-08-2025 05:13
N400319,E106806,maintenance,Wi-Fi not working in hostel block.,28-08-2025 22:32
N400320,E102193,rsvp,Requesting lab access.,13-09-2025 13:00
N400321,E101106,helpdesk,Wi-Fi not working in hostel block.,06-09-2025 15:53
N400322,E105883,maintenance,CCTV near library needs check.,10-09-2025 07:37
N400323,E100442,maintenance,CCTV near library needs check.,25-09-2025 05:14
N400324,E100177,maintenance,Requesting lab access.,09-09-2025 12:43
N400325,E105141,feedback,Requesting lab access.,03-09-2025 08:07
N400326,E103565,rsvp,Requesting lab access.,16-09-2025 10:47
N400327,E101202,incident,Wi-Fi not working in hostel block.,16-09-2025 21:23
N400328,E105398,feedback,Requesting lab access.,27-08-2025 16:12
N400329,E105918,helpdesk,Requesting lab access.,03-09-2025 14:20
N400330,E105530,maintenance,Confirmed attendance for robotics workshop.,09-09-2025 12:13
N400331,E101297,rsvp,Wi-Fi not working in hostel block.,07-09-2025 14:55
N400332,E105491,feedback,CCTV near library needs check.,23-09-2025 04:55
N400333,E102095,rsvp,Wi-Fi not working in hostel block.,16-09-2025 07:17
N400334,E103136,maintenance,Broken chair in seminar room.,20-09-2025 10:48
N400335,E104730,helpdesk,Wi-Fi not working in hostel block.,13-09-2025 08:08
N400336,E100869,maintenance,Confirmed attendance for robotics workshop.,04-09-2025 16:09
N400337,E101716,incident,Requesting lab access.,07-09-2025 10:19
N400338,E103081,feedback,Confirmed attendance for robotics workshop.,24-09-2025 05:58
N400339,E106595,maintenance,Requesting lab access.,02-09-2025 02:05
N400340,E104663,incident,Broken chair in seminar room.,21-09-2025 16:50
N400341,E100365,incident,Broken chair in seminar room.,12-09-2025 12:11
N400342,E104531,helpdesk,Requesting lab access.,03-09-2025 11:39
N400343,E106796,rsvp,Confirmed attendance for robotics workshop.,25-09-2025 00:02
N400344,E104401,maintenance,Wi-Fi not working in hostel block.,21-09-2025 22:29
N400345,E102323,incident,Broken chair in seminar room.,10-09-2025 08:06
N400346,E105728,rsvp,Confirmed attendance for robotics workshop.,13-09-2025 03:47
N400347,E105220,feedback,Confirmed attendance for robotics workshop.,22-09-2025 17:58
N400348,E101329,helpdesk,CCTV near library needs check.,18-09-2025 00:46
N400349,E100045,rsvp,Requesting lab access.,27-08-2025 15:30
N400350,E100366,incident,Requesting lab access.,17-09-2025 00:13
N400351,E105747,incident,Confirmed attendance for robotics workshop.,21-09-2025 01:03
N400352,E101898,rsvp,CCTV near library needs check.,03-09-2025 14:38
N400353,E105928,rsvp,Confirmed attendance for robotics workshop.,15-09-2025 11:39
N400354,E100563,feedback,Confirmed attendance for robotics workshop.,14-09-2025 07:49
N400355,E105332,helpdesk,Broken chair in seminar room.,28-08-2025 21:27
N400356,E106953,rsvp,Confirmed attendance for robotics workshop.,20-09-2025 21:04
N400357,E105959,helpdesk,Confirmed attendance for robotics workshop.,15-09-2025 13:53
N400358,E103422,maintenance,Wi-Fi not working in hostel block.,12-09-2025 02:47
N400359,E103833,rsvp,Wi-Fi not working in hostel block.,06-09-2025 06:09
N400360,E104497,rsvp,CCTV near library needs check.,25-09-2025 05:23
N400361,E102012,rsvp,Requesting lab access.,14-09-2025 14:26
N400362,E102112,feedback,Confirmed attendance for robotics workshop.,14-09-2025 20:20
N400363,E106347,feedback,Confirmed attendance for robotics workshop.,23-09-2025 20:37
N400364,E105701,rsvp,Requesting lab access.,05-09-2025 16:40
N400365,E101269,rsvp,CCTV near library needs check.,12-09-2025 07:06
N400366,E104274,rsvp,Wi-Fi not working in hostel block.,16-09-2025 10:47
N400367,E100057,feedback,Broken chair in seminar room.,29-08-2025 22:19
N400368,E100177,rsvp,Wi-Fi not working in hostel block.,13-09-2025 04:00
N400369,E101519,incident,CCTV near library needs check.,04-09-2025 04:34
N400370,E104189,feedback,Confirmed attendance for robotics workshop.,27-08-2025 15:15
N400371,E104077,rsvp,Broken chair in seminar room.,10-09-2025 10:09
N400372,E100170,maintenance,Confirmed attendance for robotics workshop.,24-09-2025 19:10
N400373,E103153,maintenance,Requesting lab access.,30-08-2025 19:17
N400374,E100727,incident,Wi-Fi not working in hostel block.,03-09-2025 08:50
N400375,E105796,maintenance,Wi-Fi not working in hostel block.,19-09-2025 18:11
N400376,E100601,feedback,Requesting lab access.,01-09-2025 15:08
N400377,E102740,incident,Broken chair in seminar room.,11-09-2025 02:34
N400378,E104824,incident,Requesting lab access.,13-09-2025 13:38
